CP;221;223;AB6;313;318;319;320;321;31N;32N;32Q;332;333;338;339;343;346;359;351;388;733;734;73P;735;73W;73H;73J;7M8;744;74Y;752;75F;76W;76Y;772;77X;77W;788;789;781;CR9;E75;E90;E95;290;295;F70;100;GNPS;GNPM;GNPL;GNPXL;GNCM;GNCL;GNCXL
ID_V;0.77;0.77;0.78;0.79;0.76;0.78;0.78;0.78;0.78;0.78;0.78;0.8;0.81;0.81;0.81;0.81;0.81;0.85;0.85;0.83;0.7;0.74;0.74;0.74;0.76;0.78;0.79;0.78;0.85;0.85;0.8;0.8;0.72;0.72;0.75;0.84;0.84;0.84;0.84;0.84;0.72;0.76;0.75;0.76;0.75;0.76;0.68;0.68;0.7;0.78;0.81;0.84;0.74;0.72;0.85
ID_VS;1500;1500;1000;1500;800;1000;1000;1000;1000;1000;1500;1000;1000;1500;1500;1000;1000;1500;1500;1000;800;1500;1500;1000;800;800;1000;800;1000;1000;1000;1000;1000;1000;800;1000;1000;2600;2600;2600;1500;2300;2100;2000;2100;2000;800;800;1000;1000;1000;1000;1500;1000;1000
FL100_V;250;250;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;250;270;300;280;280;280;280;280;280;280;280;300;300;270;270;290;290;300;240;300;300;300;300;290;300;250;250;250;250;250;250;250;290;290;300;280;290;300
FL100_VS;2200;2200;2000;2000;3500;3500;3500;2500;3000;3000;2500;3000;3000;3000;3000;2000;2000;3000;2500;2000;3500;3500;3500;3500;3500;3500;3500;3500;3000;3000;3500;3500;3000;3000;3000;3000;3000;2800;2800;2800;3500;2600;2200;2500;2200;2500;3500;3500;3000;3500;3000;3000;3500;3000;3000
APP_V;210;210;240;240;250;230;250;225;230;250;250;230;220;220;220;250;250;240;240;250;250;250;250;250;250;250;250;250;250;250;220;220;230;230;250;210;250;240;240;240;250;250;230;230;230;230;230;250;250;250;220;250;250;230;250
APP_VS;1700;1700;1500;1000;1500;1500;1500;1500;1500;1500;1300;1600;1500;1500;1500;1500;1500;1500;1500;1000;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;2000;1500;1500;1500;1500;1500;2000;1600;1600;1600;1600;1500;1500;1500;1500;1500;1500;1500;1500;1500
HOLD_V;180;180;200;200;180;180;180;180;180;180;180;180;180;180;180;185;185;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;185;185;180;180;180;189;180;180;180;180;180;180;180;180;180;180;185;180;180;180
HOLD_VS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FINAL_V;140;145;139;139;135;135;145;145;135;140;145;150;150;150;150;160;160;150;155;150;132;139;139;128;145;150;155;150;155;155;130;130;145;145;150;140;155;150;150;150;135;140;140;145;140;145;135;135;140;145;150;155;139;145;155
FINAL_VS;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
