FlightNumber,TravelDate,FlightType,Airline,AirlineCode,OriginCode,DestinationCode,EquipmentName,Aircraft type ICAO,MTOW,Seats,Passengers,CargoMass,CheckedBaggageMass,O_Lat,O_Lon,D_Lat,D_Lon,Distance_km
SN8849,1/7/2018,P,Brussels Airlines,SN,BRU,ACC,332 (A330-200),A332,242000,264,,,,50.90140152,4.48443985,5.6051898,-0.166786,5055.210081
SN8863,1/7/2018,P,Brussels Airlines,SN,BRU,BOM,332 (A330-200),A332,242000,264,,,,50.90140152,4.48443985,19.08869934,72.86789703,6866.058468
SN8885,1/7/2018,P,Brussels Airlines,SN,ACC,BRU,332 (A330-200),A332,242000,264,,,,5.6051898,-0.166786,50.90140152,4.48443985,5055.210081
SN8887,1/7/2018,P,Brussels Airlines,SN,BOM,BRU,332 (A330-200),A332,242000,264,,,,19.08869934,72.86789703,50.90140152,4.48443985,6866.058468
SN8909,1/7/2018,P,Brussels Airlines,SN,DLA,BRU,332 (A330-200),A332,242000,264,,,,4.006080151,9.719479561,50.90140152,4.48443985,5237.382381
SN8914,1/7/2018,P,Brussels Airlines,SN,EBB,BRU,332 (A330-200),A332,242000,264,,,,0.042386,32.443501,50.90140152,4.48443985,6238.978049
SN8937,1/7/2018,P,Brussels Airlines,SN,FIH,BRU,332 (A330-200),A332,242000,264,,,,-4.38575,15.4446,50.90140152,4.48443985,6236.123688
SN8939,3/7/2018,P,Brussels Airlines,SN,IAD,BRU,332 (A330-200),A332,242000,264,,,,38.94449997,-77.45580292,50.90140152,4.48443985,6246.992822
SN8965,3/7/2018,P,Brussels Airlines,SN,JFK,BRU,332 (A330-200),A332,242000,264,,,,40.63980103,-73.77890015,50.90140152,4.48443985,5885.511434
SN8966,3/7/2018,P,Brussels Airlines,SN,ROB,BRU,332 (A330-200),A332,242000,264,,,,6.23379,-10.3623,50.90140152,4.48443985,5153.747884
SN8979,3/7/2018,P,Brussels Airlines,SN,YYZ,BRU,332 (A330-200),A332,242000,264,,,,43.67720032,-79.63059998,50.90140152,4.48443985,6044.398924
SN9077,3/7/2018,P,Brussels Airlines,SN,BRU,DLA,332 (A330-200),A332,242000,264,,,,50.90140152,4.48443985,4.006080151,9.719479561,5237.382381
SN9082,3/7/2018,P,Brussels Airlines,SN,BRU,FIH,332 (A330-200),A332,242000,264,,,,50.90140152,4.48443985,-4.38575,15.4446,6236.123688
SN9084,3/7/2018,P,Brussels Airlines,SN,BRU,FNA,332 (A330-200),A332,242000,264,,,,50.90140152,4.48443985,8.61644,-13.1955,4974.422858
SN9100,3/7/2018,P,Brussels Airlines,SN,BRU,IAD,332 (A330-200),A332,242000,264,,,,50.90140152,4.48443985,38.94449997,-77.45580292,6246.992822
SN9126,3/7/2018,P,Brussels Airlines,SN,BRU,JFK,332 (A330-200),A332,242000,264,,,,50.90140152,4.48443985,40.63980103,-73.77890015,5885.511434
SN9127,3/7/2018,P,Brussels Airlines,SN,BRU,KGL,332 (A330-200),A332,242000,264,,,,50.90140152,4.48443985,-1.96863,30.1395,6362.006145
SN9163,4/7/2018,P,Brussels Airlines,SN,BRU,ABJ,333 (A330-300),A333,242000,287.2857143,,,,50.90140152,4.48443985,5.261390209,-3.926290035,5134.849292
SN9177,4/7/2018,P,Brussels Airlines,SN,BRU,ACC,333 (A330-300),A333,242000,286.9583333,,,,50.90140152,4.48443985,5.6051898,-0.166786,5055.210081
SN9201,4/7/2018,P,Brussels Airlines,SN,DSS,BJL,333 (A330-300),A333,242000,287.7058824,,,,14.67,-17.073333,13.3380003,-16.6522007,154.9237485
