FlightNumber,TravelDate,FlightType,Airline,AirlineCode,OriginCode,DestinationCode,EquipmentName,Aircraft type ICAO,MTOW,Seats,Passengers,CargoMass,CheckedBaggageMass,O_Lat,O_Lon,D_Lat,D_Lon,Distance_km
LH8128,1-7-2018,P,Lufthansa,LH,ALG,FRA,319 (A319),A319,75500,138,,,,36.69100189,3.215409994,50.033333,8.570556,1544.441275
LH8131,1-7-2018,P,Lufthansa,LH,AMS,FRA,319 (A319),A319,75500,138,,,,52.308601,4.76389,50.033333,8.570556,366.5732484
LH8152,1-7-2018,P,Lufthansa,LH,AMS,MUC,319 (A319),A319,75500,138,,,,52.308601,4.76389,48.353802,11.7861,664.1662745
LH8157,1-7-2018,P,Lufthansa,LH,ARN,FRA,319 (A319),A319,75500,138,,,,59.65190125,17.91860008,50.033333,8.570556,1222.985333
LH8159,1-7-2018,P,Lufthansa,LH,ARN,MUC,319 (A319),A319,75500,138,,,,59.65190125,17.91860008,48.353802,11.7861,1317.310964
LH8167,1-7-2018,P,Lufthansa,LH,BCN,MUC,319 (A319),A319,75500,138,,,,41.2971,2.07846,48.353802,11.7861,1094.630045
LH8174,1-7-2018,P,Lufthansa,LH,BEG,FRA,319 (A319),A319,75500,138,,,,44.81840134,20.3090992,50.033333,8.570556,1054.57721
LH8187,1-7-2018,P,Lufthansa,LH,BEG,MUC,319 (A319),A319,75500,138,,,,44.81840134,20.3090992,48.353802,11.7861,760.1143293
LH8235,1-7-2018,P,Lufthansa,LH,BHX,FRA,319 (A319),A319,75500,138,,,,52.45389938,-1.748029947,50.033333,8.570556,766.2058548
LH8280,1-7-2018,P,Lufthansa,LH,BHX,MUC,319 (A319),A319,75500,138,,,,52.45389938,-1.748029947,48.353802,11.7861,1059.839557
LH8307,1-7-2018,P,Lufthansa,LH,BIO,FRA,319 (A319),A319,75500,138,,,,43.30110168,-2.910609961,50.033333,8.570556,1150.078723
LH8317,1-7-2018,P,Lufthansa,LH,BIO,MUC,319 (A319),A319,75500,138,,,,43.30110168,-2.910609961,48.353802,11.7861,1266.97407
LH8364,1-7-2018,P,Lufthansa,LH,BLL,FRA,319 (A319),A319,75500,138,,,,55.74029922,9.151780128,50.033333,8.570556,635.7765967
LH8395,1-7-2018,P,Lufthansa,LH,BLQ,FRA,319 (A319),A319,75500,138,,,,44.5354,11.2887,50.033333,8.570556,644.6910952
LH8487,1-7-2018,P,Lufthansa,LH,BOD,FRA,319 (A319),A319,75500,138,,,,44.82830048,-0.715556026,50.033333,8.570556,905.9738777
LH8513,1-7-2018,P,Lufthansa,LH,BRE,FRA,319 (A319),A319,75500,138,,,,53.04750061,8.786669731,50.033333,8.570556,335.4927966
LH8551,1-7-2018,P,Lufthansa,LH,BRE,MUC,319 (A319),A319,75500,138,,,,53.04750061,8.786669731,48.353802,11.7861,562.9178962
LH8611,1-7-2018,P,Lufthansa,LH,BRI,FRA,319 (A319),A319,75500,138,,,,41.138901,16.760599,50.033333,8.570556,1174.999928
LH8624,1-7-2018,P,Lufthansa,LH,BRU,FRA,319 (A319),A319,75500,138,,,,50.90140152,4.48443985,50.033333,8.570556,304.8392216
LH8678,1-7-2018,P,Lufthansa,LH,BRU,MUC,319 (A319),A319,75500,138,,,,50.90140152,4.48443985,48.353802,11.7861,596.9780577
LH8748,1-7-2018,P,Lufthansa,LH,BUD,FRA,319 (A319),A319,75500,138,,,,47.42976,19.261093,50.033333,8.570556,834.9005491
LH8771,1-7-2018,P,Lufthansa,LH,BUD,MUC,319 (A319),A319,75500,138,,,,47.42976,19.261093,48.353802,11.7861,566.4848094
LH8816,1-7-2018,P,Lufthansa,LH,CAG,MUC,319 (A319),A319,75500,138,,,,39.251499,9.05428,48.353802,11.7861,1035.415918
LH8821,1-7-2018,P,Lufthansa,LH,CDG,FRA,319 (A319),A319,75500,138,,,,49.012798,2.55,50.033333,8.570556,449.002847
LH8865,1-7-2018,P,Lufthansa,LH,CDG,MUC,319 (A319),A319,75500,138,,,,49.012798,2.55,48.353802,11.7861,681.5692457
LH8894,1-7-2018,P,Lufthansa,LH,CGN,MUC,319 (A319),A319,75500,138,,,,50.86589813,7.142739773,48.353802,11.7861,435.7003522
LH8994,1-7-2018,P,Lufthansa,LH,CPH,FRA,319 (A319),A319,75500,138,,,,55.61790085,12.65600014,50.033333,8.570556,678.6511493
LH8995,1-7-2018,P,Lufthansa,LH,CPH,MUC,319 (A319),A319,75500,138,,,,55.61790085,12.65600014,48.353802,11.7861,809.90727
LH9027,1-7-2018,P,Lufthansa,LH,CTA,FRA,319 (A319),A319,75500,138,,,,37.466801,15.0664,50.033333,8.570556,1490.147781
LH9028,1-7-2018,P,Lufthansa,LH,CTA,MUC,319 (A319),A319,75500,138,,,,37.466801,15.0664,48.353802,11.7861,1239.391104
LH9030,1-7-2018,P,Lufthansa,LH,DBV,FRA,319 (A319),A319,75500,138,,,,42.56140137,18.26819992,50.033333,8.570556,1114.139196
LH9032,1-7-2018,P,Lufthansa,LH,DBV,MUC,319 (A319),A319,75500,138,,,,42.56140137,18.26819992,48.353802,11.7861,818.1843073
LH9045,1-7-2018,P,Lufthansa,LH,DRS,FRA,319 (A319),A319,75500,138,,,,51.13280106,13.76720047,50.033333,8.570556,386.6368177
LH9111,1-7-2018,P,Lufthansa,LH,DRS,MUC,319 (A319),A319,75500,138,,,,51.13280106,13.76720047,48.353802,11.7861,340.1914391
LH9112,1-7-2018,P,Lufthansa,LH,DUB,MUC,319 (A319),A319,75500,138,,,,53.421299,-6.27007,48.353802,11.7861,1381.284011
LH9113,1-7-2018,P,Lufthansa,LH,DUS,FRA,319 (A319),A319,75500,138,,,,51.289501,6.76678,50.033333,8.570556,188.8680917
LH9218,1-7-2018,P,Lufthansa,LH,DUS,MUC,319 (A319),A319,75500,138,,,,51.289501,6.76678,48.353802,11.7861,485.8227826
LH9335,1-7-2018,P,Lufthansa,LH,EBL,FRA,319 (A319),A319,75500,138,,,,36.23759842,43.96319962,50.033333,8.570556,3214.263416
LH9343,1-7-2018,P,Lufthansa,LH,FCO,FRA,319 (A319),A319,75500,138,,,,41.8002778,12.2388889,50.033333,8.570556,958.1363166
LH9404,1-7-2018,P,Lufthansa,LH,FCO,MUC,319 (A319),A319,75500,138,,,,41.8002778,12.2388889,48.353802,11.7861,729.5816341
